country_label,n
IR,110
NO,110
SE,117
HK,129
PK,132
TW,140
FI,142
TR,159
MY,161
África do Sul,193
Brasil,204
Índia,250
Países Baixos,296
Canadá,334
Espanha,347
ID,366
Alemanha,373
China,389
Austrália,615
Reino Unido,810
Estados Unidos,2511
