metric,value
Total de registros no corpus,25.565
Registros — Corpus C (Educação Judiciária),4.010
Proporção do corpus C no total (%),15.7%
Periódicos únicos — Corpus C,1694
Periódicos Corpus C presentes em A ou B,270
Taxa de sobreposição de periódicos C↔AB (%),15.9%
